"","id","season_id","date","country","contact_person","email","phone","user_id","field_num","village_name","district","province","latitude","longitude","farmer_name","field_area","id_fertil_org","id_main.x","apply.x","wm_method","id_act_ingr.x","devel_stage.x","mix_type.x","id_pest","id_main.y","id_act_ingr.y","pest_type","apply.y","devel_stage.y","days_applied","mix_type.y","id_fungicide","id_main","apply","brand","amount","volume","devel_stage"
"1",1,6,"2015-08-17","ID","","j.villa@irri.org","",37,"x","d","x","ID-BA","8.6500","115.2167","v","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,4,"2015-08-17","ID","","j.villa@irri.org","",37,"x","s","s","ID-BA","-8.409518","115.188919","x","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,1,"2015-08-19","VN","","s.jaisong@irri.org","",4,"1","Minh Duc","Tu Ky","VN-61","20.4816","106.2334","Nguyen Thi Ngan","0.07",1,3,1,1,11,6,1,2,3,79,6,1,7,0,1,NA,NA,NA,NA,NA,NA,NA
"4",3,1,"2015-08-19","VN","","s.jaisong@irri.org","",4,"1","Minh Duc","Tu Ky","VN-61","20.4816","106.2334","Nguyen Thi Ngan","0.07",1,3,1,1,11,6,1,3,3,111,6,2,9,0,1,NA,NA,NA,NA,NA,NA,NA
"5",3,1,"2015-08-19","VN","","s.jaisong@irri.org","",4,"1","Minh Duc","Tu Ky","VN-61","20.4816","106.2334","Nguyen Thi Ngan","0.07",1,3,1,1,11,6,1,4,3,160,7,1,10,0,1,NA,NA,NA,NA,NA,NA,NA
"6",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",5,4,1,2,NA,8,NA,13,4,2,3,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
"7",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",5,4,1,2,NA,8,NA,14,4,126,6,1,7,0,2,NA,NA,NA,NA,NA,NA,NA
"8",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",5,4,1,2,NA,8,NA,15,4,56,6,2,7,0,2,NA,NA,NA,NA,NA,NA,NA
"9",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",5,4,1,2,NA,8,NA,16,4,149,7,1,12,0,3,NA,NA,NA,NA,NA,NA,NA
"10",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",5,4,1,2,NA,8,NA,17,4,140,7,2,12,0,3,NA,NA,NA,NA,NA,NA,NA
